state_id	daily_2026-04-20
reference_time	2026-04-20T23:59:59-07:00
visible_change_rows	102

change_kind	old_status	new_status	path
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_BATCH_8_CANDIDATES_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_BATCH_9_CANDIDATES_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_FIRST_PASS.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_FIRST_REAL_SET_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_MONTH_MAP_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REAL_ASKS_ONLY_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REAL_ASK_EVALS_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REAL_ASK_EVALS_V1.yaml
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REAL_ASK_EVAL_SET_V2.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REAL_ASK_EVAL_SET_V2.yaml
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_RECURRENCE_PRIORITY_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/archive/real-ask-history/NE_1_3_REPEAT_SHAPES_V1.md
modified	approximate	exact	research/n1-memory-lab/ask_demands_ne13_20260418.tsv
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/benchmark-legacy/BENCHMARK_ITEMS.yaml
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/benchmark-legacy/BENCHMARK_RUNSETS.yaml
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/benchmark-legacy/PROBE_SEEDS_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_10_FINAL_4_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_2_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_3_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_4_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_5_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_6_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_7_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_8_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_BATCH_9_CANDIDATES_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_FIRST_PASS.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_FIRST_REAL_SET_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_MONTH_MAP_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REAL_ASKS_ONLY_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REAL_ASK_EVALS_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REAL_ASK_EVALS_V1.yaml
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REAL_ASK_EVAL_SET_V2.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REAL_ASK_EVAL_SET_V2.yaml
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_RECURRENCE_PRIORITY_V1.md
deleted_or_became_absent	approximate	exact	research/n1-memory-lab/claude-thesis-notes-20260521/archive/real-ask-history/NE_1_3_REPEAT_SHAPES_V1.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_A_DISAGREEMENT_FORENSICS.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_B_AGREEMENT_ANCHORS.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_C_SUBAXIS_FIRING.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_D_LINGUISTIC_TRIGGERS.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_E_ASK_TYPE_STRATIFICATION.md
added_or_became_available	unavailable	exact	research/n1-memory-lab/judge-mining-20260420/BATCH_F_ANSWER_FEATURES.md
modified	approximate	exact	research/n1-memory-lab/psyche_asks_all.json
modified	approximate	exact	research/n1-memory-lab/psyche_asks_real_non_pi.json
modified	approximate	exact	research/n1-memory-lab/psyche_asks_real_strict.json
added_or_became_available	unavailable	exact	research/n1-memory-lab/scratch/clean_packet_calibration_20260420.py
added_or_became_available	unavailable	exact	research/n1-memory-lab/scratch/schematic_adherence_20260420.py
