probe_id,condition,answer_source,failure_category,evidence_excerpt
R09,pure,gpt-5.4,stale_state_selection,Observe Phase 2 mostly closed / hardening (`verified/inferred`); real-time distribution promoted to next critical thread (`verified`); memory retrieval cutoff bug open (`verified`); persisted-map note stale relative to live trace (`contradi
R09,pure,opus-4.6,contradicted_evidence,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R09,pure,opus-4.6,reference_ambiguous,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R09,pure,opus-4.6,unsupported_inference,Observe Phase 2 complete / hardening (`verified/inferred`); real-time distribution as killer feature and next priority (`verified`); thread-15 deprioritized and priority order right (`verified`); commit/test counts uncheckable and partly co
R14,production,gpt-5.4,stale_state_selection,"latest claude-code synthesis run at 2026-03-16 23:54:19 (`verified`); empty response (`verified`); no `finalize_memex` / stop-hook warning (`verified`); saved to `syke.db` + refreshed MEMEX (`unsupported`). Failure: right narrow session, bu"
R14,production,gpt-5.4,unsupported_inference,"latest claude-code synthesis run at 2026-03-16 23:54:19 (`verified`); empty response (`verified`); no `finalize_memex` / stop-hook warning (`verified`); saved to `syke.db` + refreshed MEMEX (`unsupported`). Failure: right narrow session, bu"
R14,production,opus-4.6,stale_state_selection,observe-layer sandbox/replay (`verified/inferred`); 31 proofs + 2 sync cycles (`inferred`); Kimi-on-Azure / LiteLLM blocker (`verified`); adapter redesign + cost fix (`inferred`). Failure: chronology overpacked and specifics embellished. Hu
R14,pure,gpt-5.4,unsupported_inference,observe/sandbox tests green (60; 546/12) (`verified`); uncommitted observe/sense refactor exists (`verified/inferred`); real-data replay still failing on `finalize_memex` (`verified`); saved into syke.db/MEMEX (`unsupported`). Failure: good
R14,pure,opus-4.6,answer_wrong,resumed observe-layer work (`verified`); five pipeline gaps (`verified/inferred`); adapter rebuild / `build_llm_fn` / SQLite adapter work (`inferred`); Kimi-on-Azure rate-limit / wrong field / retries (`verified/inferred`). Failure: mostly 
R14,zero,gpt-5.4,unsupported_inference,green test state + uncommitted observe/sense work (`verified`); cold-start replay not settled / syke connect incomplete (`inferred`); SQLite harnesses may need separate handling (`speculative`); new memory + MEMEX projection (`unsupported`)
R14,zero,opus-4.6,answer_wrong,`ses_307e0d6d` Mar 16 evening -> Mar 17 (`verified`); observe tests + sandbox investigation + 5 gaps (`verified/inferred`); 17 successful synthesis cycles earlier that day (`verified/inferred`); Kimi-on-Azure failure spiral (`verified/infer
R19,production,gpt-5.4,contradicted_evidence,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,reference_ambiguous,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,stale_state_selection,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,gpt-5.4,unsupported_inference,most recent work = LM Studio/Qwen benchmarking (`contradicted`); Qwen3.5-35B-A3B main candidate (`contradicted/uncheckable`); Qwen3.5-9B downloaded + GUI scan limit (`contradicted/uncheckable`); updated syke.db/MEMEX (`unsupported`). Failur
R19,production,opus-4.6,answer_wrong,"no substantive answer; timeout after 600s (`verified`); no claims to audit (`uncheckable`). Failure: generation timeout, not reasoning miss. Human-review question: should this cell be excluded from comparison because Opus never produced con"
R19,production,opus-4.6,reference_ambiguous,"no substantive answer; timeout after 600s (`verified`); no claims to audit (`uncheckable`). Failure: generation timeout, not reasoning miss. Human-review question: should this cell be excluded from comparison because Opus never produced con"
R19,pure,gpt-5.4,contradicted_evidence,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,gpt-5.4,stale_state_selection,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,gpt-5.4,unsupported_inference,"replay/eval sandbox clean slate (`verified`); `bb3706f` cleanup commit + UI rename (`verified`); fresh 5-prompt run (`chronology contradicted`); `minimal_exclude` prompt (`unsupported`). Failure: right thread, wrong ordering. Human-review q"
R19,pure,opus-4.6,contradicted_evidence,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,pure,opus-4.6,stale_state_selection,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,pure,opus-4.6,unsupported_inference,fresh boot / empty syke.db (`unsupported`); late-night Mar 21 architecture session (`contradicted`); Syke Sandbox / replay sandbox eval harness arc (`inferred`); misses later tool-stripping/operationalization (`contradicted`). Failure: stal
R19,zero,gpt-5.4,contradicted_evidence,background synthesis run at 23:57-23:59 with opencode ingestion (`uncheckable`); most recent direct work was Mar 20 interrupted Codex turn (`contradicted`); no later 3/21 direct work (`contradicted`). Failure: merges older interrupted chat 
R19,zero,gpt-5.4,reference_ambiguous,background synthesis run at 23:57-23:59 with opencode ingestion (`uncheckable`); most recent direct work was Mar 20 interrupted Codex turn (`contradicted`); no later 3/21 direct work (`contradicted`). Failure: merges older interrupted chat 
R19,zero,opus-4.6,stale_state_selection,"local LLM setup/benchmarking on M2 Max (`verified/inferred`); Qwen3.5-35B-A3B + partial Qwen3.5-9B + GUI scan limit (`mostly verified`, partial-download overclaim); M5 Max benchmark / bandwidth formula / MLX advantage (`verified/inferred`);"
