commit_index	commit	time_pt	date_pt	subject
25	1b93b47b9ed7c2bed395a88d3e1098b418a5293a	2026-04-21T19:04:31-07:00	2026-04-21	Handoff doc + personal note — kept even though next session continues here
26	6758b493a12dd69fe7d1a07d6d02730c4f088692	2026-04-21T19:11:25-07:00	2026-04-21	Field notes — non-deliverable thinking piece at end of long session
27	c88e9e9fb398bfffdc0a1c59ee1805840c7760d3	2026-04-21T19:25:07-07:00	2026-04-21	v0.2.11 — memory-as-living-system axes + asks→primitives→rubric→asks loop
28	dfcf8df169e344e02cff5836b7aa4edf9f104784	2026-04-21T19:29:32-07:00	2026-04-21	v0.2.12 — n=1 as enabling constraint, not limitation
29	9c752db959b807821da725e74e5fac3e18e3ad0a	2026-04-21T19:32:55-07:00	2026-04-21	Per-tab TOC — each tab is its own long page, its own navigation
30	59f265978d8e682ebc81a778002b1558c837be06	2026-04-21T19:36:07-07:00	2026-04-21	Field notes — on release (second non-deliverable thinking piece)
31	19899ac4c4a3bd60bdb4efab27ceadfb350c623d	2026-04-21T19:42:11-07:00	2026-04-21	Field notes — deep literature review on n=1 personal memory substrate
32	01a176f9d73f1b16ea486cc43108d2ec8fd51c5f	2026-04-21T20:53:30-07:00	2026-04-21	v0.2.13 — blind rerun landed · σ_γ is structural, not self-preference
33	a13ba3f4710948be2c49378bce87bc525a326672	2026-04-21T21:03:47-07:00	2026-04-21	v0.2.14 — correction: blind-rerun delta within sample noise, fork not resolved
34	ab32836d10e20afd22a260de1bcaefcc90eebf0a	2026-04-21T21:04:32-07:00	2026-04-21	Next-session delta note — blind rerun landed, v0.2.13 overclaimed, v0.2.14 corrected
35	80edd598054f19496b001076dcb2e28fb6430933	2026-04-21T23:51:28-07:00	2026-04-21	v0.2.15–v0.2.17 — pooled re-read, simplified formalism, Math tab upgrade
